Date,Open,High,Low,Close,Turnover,Volume
2019/7/16,9587.07,9624.23,9497.2,9513.43,371,10300.28
2019/7/17,9503.12,9569.93,9451.85,9520.89,346,9576.73
2019/7/18,9486.74,9499.24,9405.69,9410.13,301,8091.88
2019/7/19,9447.81,9517.41,9390.74,9401.82,241,7384.7
2019/7/22,9410.35,9425.23,9296.84,9353.86,281,8176.95
2019/7/23,9363,9434.71,9341.62,9417.41,243,7328.19
2019/7/24,9445.46,9541.08,9437.85,9491.88,257,7581.59
2019/7/25,9500.4,9555.15,9480.54,9544.22,234,6745.49
2019/7/26,9523.63,9618.07,9511.09,9589.84,273,7940.54
2019/7/29,9595.82,9596.48,9502.02,9518.86,234,6881.9
2019/7/30,9523.02,9600.47,9521.61,9573.15,260,7225.48
2019/7/31,9545.56,9576.44,9479.63,9513.83,249,7034.81
2019/8/1,9473.95,9496.54,9408.97,9432.45,276,7892.95
2019/8/2,9265.11,9378.43,9253.05,9342.84,286,7834.57
2019/8/5,9310.53,9318.01,9135.82,9136.58,259,7520.95
2019/8/6,8997.38,9133.73,8909.8,9107.84,321,8624.9
2019/8/7,9152.77,9228.91,9132.7,9178.05,235,6561.35
2019/8/8,9215.34,9348.19,9215.34,9333.19,259,7391.25
2019/8/9,9384.83,9464.87,9307.16,9328.65,319,9160.63
2019/8/12,9331.72,9423.1,9278.67,9423.1,313,7496.94
2019/8/13,9359.94,9434.16,9339.24,9405.15,386,9050.73
2019/8/14,9488.76,9595.65,9472.66,9559.1,429,11818.18
2019/8/15,9418.49,9604.36,9401.12,9580.62,410,10225.22
2019/8/16,9587.97,9706.06,9541.51,9651.36,453,11894.12
2019/8/19,9707.04,9855.81,9707.04,9854,534,14190.16
2019/8/20,9850.9,9860.95,9768.31,9805.88,492,13215.63
2019/8/21,9780.68,9791.34,9700.91,9733.41,374,10060.28
2019/8/22,9788.19,9845.86,9752.12,9840.89,417,10910.44
2019/8/23,9864.64,10236.81,9831.61,10160.9,580,17082.36
2019/8/26,10031.84,10302.66,10031.84,10209.3,578,16588.86
2019/8/27,10277.6,10413.09,10259.28,10273.91,644,17395.11
2019/8/28,10276.53,10276.53,10115.86,10187.41,504,13815.48
2019/8/29,10152.05,10205.24,10092.71,10167.17,429,11564.29
2019/8/30,10222.45,10362.98,10191.05,10251,460,13277.13
2019/9/2,10276.62,10320.81,10190.62,10319.12,436,12808.28
2019/9/3,10320.24,10320.24,10172.71,10223.92,366,10862.08
2019/9/4,10230.97,10270.24,10127.01,10220.16,391,11234.68
2019/9/5,10266.77,10311.61,10242.85,10273.94,487,13660.33
2019/9/6,10321.81,10382.7,10207.44,10382.43,425,11654.57
2019/9/9,10425.96,10428.46,10289.02,10402.82,481,13564.59
2019/9/10,10412.44,10543.3,10360.31,10522.38,525,14153.12
2019/9/11,10537.52,10541.36,10277.89,10303.05,452,13050.53
2019/9/12,10325.25,10363.53,10258.83,10331.75,363,9572.66
2019/9/16,10371.52,10416.85,10321.44,10380.89,358,9468.75
2019/9/17,10369.69,10407.71,10231.68,10257.19,361,9244.09
2019/9/18,10257.92,10357.8,10256.7,10335.23,295,9320.11
2019/9/19,10368.18,10406.34,10300.08,10379.33,334,9849.93
